Service Price Name	Healthcare Service	Price Type	Currency	Service Charge	Group Name (If Applicable)
US- DOPLER VENOUS LEFT LEG - Foreign Cash	US- DOPLER VENOUS LEFT LEG	Fixed Price	GHS	596	Foreign cash
US- ABDOMEN & PELVIC SCAN - Foreign Credit	US- ABDOMEN & PELVIC SCAN	Fixed Price	GHS	543	Foreign credit
CT-EXTREMITIES - Foreign Cash	CT-EXTREMITIES	Fixed Price	GHS	1360	Foreign cash
CT-ABDO/PELVIS (WITH CONT) - Foreign Cash	CT-ABDO/PELVIS (WITH CONT)	Fixed Price	GHS	1596	Foreign cash
CT-TRIPLE PHASE LIVER - Foreign Credit	CT-TRIPLE PHASE LIVER	Fixed Price	GHS	2877	Foreign credit
CT-PELVIS (RTA) - Foreign Cash	CT-PELVIS (RTA)	Fixed Price	GHS	1360	Foreign cash
CT-FOREARM - Foreign Cash	CT-FOREARM	Fixed Price	GHS	1360	Foreign cash
CT-LEG - Foreign Cash	CT-LEG	Fixed Price	GHS	1360	Foreign cash
CT-NECK SOFT TISSUE (WITH CONT.) - Foreign Cash	CT-NECK SOFT TISSUE (WITH CONT.)	Fixed Price	GHS	2258	Foreign cash
CT-PELVIS (RTA) - Foreign Credit	CT-PELVIS (RTA)	Fixed Price	GHS	1442	Foreign credit
CT-TRIPLE PHASE LIVER - Foreign Cash	CT-TRIPLE PHASE LIVER	Fixed Price	GHS	2714	Foreign cash
CT-UPPER ABDOMEN (WITH CONT) - Foreign Credit	CT-UPPER ABDOMEN (WITH CONT)	Fixed Price	GHS	1799	Foreign credit
CT-UPPER ARM - Foreign Cash	CT-UPPER ARM	Fixed Price	GHS	1360	Foreign cash
CT-BRAIN CVA - Foreign Credit	CT-BRAIN CVA	Fixed Price	GHS	757	Foreign credit
US- small parts - Foreign Credit	US- small parts	Fixed Price	GHS	490	Foreign credit
CT-LEG - Foreign Credit	CT-LEG	Fixed Price	GHS	1442	Foreign credit
US - UMBILICAL CORD DOPPLER - Foreign Credit	US- (UMBILICAL CORD DOPPLER)	Fixed Price	GHS	548	Foreign credit
CT-BRAIN (BLEED) - Foreign Credit	CT-BRAIN (BLEED)	Fixed Price	GHS	1094	Foreign credit
CT-FEMUR - Foreign Credit	CT-FEMUR	Fixed Price	GHS	1442	Foreign credit
Anaesthetist Cons Credit ( Resident)	Anaesthetist	Fixed Price	GHS	477	
Physician Specialist Deposit Account (Premier Insurance)	Physician Specilaist	Fixed Price	GHS	409	
CT-FOREARM - Foreign Credit	CT-FOREARM	Fixed Price	GHS	1442	Foreign credit
US- UMBILICAL CORD DOPPLER (M&C) (cash)	US- UMBILICAL CORD DOPPLER (M&C)	Fixed Price	GHS	0	
US- BREAST SCAN - Foreign Cash	US- BREAST SCAN	Fixed Price	GHS	923	Foreign cash
US-DOPLER ARTERIAL RIGHT LEG - Foreign Credit	US-DOPLER ARTERIAL RIGHT LEG	Fixed Price	GHS	632	Foreign credit
US- CHEST - Foreign Credit	US- CHEST	Fixed Price	GHS	351	Foreign credit
US-ABDOMINAL SCAN - Foreign Credit	US-ABDOMINAL SCAN	Fixed Price	GHS	351	Foreign credit
EEG - Foreign Cash	EEG	Fixed Price	GHS	1196	Foreign cash
US- SCROTAL DOPPLER - Foreign Credit	US- SCROTAL DOPPLER	Fixed Price	GHS	705	Foreign credit
US- SCROTAL DOPPLER - Foreign Cash	US- SCROTAL DOPPLER	Fixed Price	GHS	665	Foreign cash
Progesterone, Serum - Foreign Credit	Progesterone, Serum	Fixed Price	GHS	268	Foreign credit
US- OBSTETRICS SCAN / PELVICS - Foreign Credit	US- OBSTETRICS SCAN / PELVICS	Fixed Price	GHS	543	Foreign credit
US- TRANSFONTANELLE USG - Foreign Cash	US- TRANSFONTANELLE USG	Fixed Price	GHS	331	Foreign cash
ULTRASOUND GUIDED DRAINAGE - Foreign Cash	ULTRASOUND GUIDED DRAINAGE	Fixed Price	GHS	2558	Foreign cash
US-DOPLER ARTERIAL RIGHT LEG - Foreign Cash	US-DOPLER ARTERIAL RIGHT LEG	Fixed Price	GHS	596	Foreign cash
US-PELVIC SCAN - Foreign Credit	US-PELVIC SCAN	Fixed Price	GHS	351	Foreign credit
Luteinizing Hormone (LH), Serum (cash)	Luteinizing Hormone (LH), Serum	Fixed Price	GHS	176	
Stool test - Foreign Cash	Stool test	Fixed Price	GHS	118	Foreign cash
Er Ultrasound (credit)	Er Ultrasound	Fixed Price	GHS	1039	
US- GOITRE (THYROID) - Foreign Credit	US- GOITRE (THYROID)	Fixed Price	GHS	490	Foreign credit
US- OBSTETRICS SCAN / PELVICS - Foreign Cash	US- OBSTETRICS SCAN / PELVICS	Fixed Price	GHS	512	Foreign cash
US- CAROTIC DOPPLER (PER SIDE) - Foreign Credit	US- CAROTIC DOPPLER (PER SIDE)	Fixed Price	GHS	632	Foreign credit
US- SCAN OF EYE - Foreign Credit	US- SCAN OF EYE	Fixed Price	GHS	490	Foreign credit
US- GOITRE (THYROID) - Foreign Cash	US- GOITRE (THYROID)	Fixed Price	GHS	462	Foreign cash
US- SCAN OF EYE - Foreign Cash	US- SCAN OF EYE	Fixed Price	GHS	462	Foreign cash
US- DOPLER VENOUS RIGHT LEG - Foreign Cash	US- DOPLER VENOUS RIGHT LEG	Fixed Price	GHS	596	Foreign cash
ULTRASOUND GUIDED DRAINAGE - Foreign Credit	ULTRASOUND GUIDED DRAINAGE	Fixed Price	GHS	2711	Foreign credit
US- TRANSFONTANELLE USG - Foreign Credit	US- TRANSFONTANELLE USG	Fixed Price	GHS	351	Foreign credit
US-Transvagina TVS (cash) GH Resident	US-Transvagina TVS	Fixed Price	GHS	321	
Er Ultrasound (cash)	Er Ultrasound	Fixed Price	GHS	980	
Us-scan Pelvic - Foreign Cash	Us-scan Pelvic	Fixed Price	GHS	331	Foreign cash
US-DOPLER ARTERIAL LEFT LEG - Foreign Credit	US-DOPLER ARTERIAL LEFT LEG	Fixed Price	GHS	632	Foreign credit
Takoradi Neurosurgeon Cons - (Credit)	Neurosurgery	Fixed Price	GHS	233	
Takoradi Neurosurgeon Cons - (Credit)	Neurosurgery	Fixed Price	GHS	233	
Satelite Detention Fee (Cash)	DETENTION (SATELITES ONLY)	Fixed Price	GHS	425	
Satelite Detention Fee (Credit)	DETENTION (SATELITES ONLY)	Fixed Price	GHS	451	
EEG - Foreign Credit	EEG	Fixed Price	GHS	1268	Foreign credit
Us-Doppler Colour / Vascular Ultrasound One Side - Foreign Cash	Us-Doppler Colour / Vascular Ultrasound One Side	Fixed Price	GHS	665	Foreign cash
T4 (Thyroxine), Free, Serum - Foreign Credit	T4 (Thyroxine), Free, Serum	Fixed Price	GHS	248	Foreign credit
Liver Profile, Serum - Foreign Cash	Liver Profile, Serum	Fixed Price	GHS	348	Foreign cash
Estradiol, Serum - Foreign Credit	Estradiol, Serum	Fixed Price	GHS	182	Foreign credit
TSH-Ab - Credit (GH Resident)	TSH-Ab	Fixed Price	GHS	687	
Prolactin, Serum (cash)	Prolactin, Serum	Fixed Price	GHS	176	
Takoradi FP Consultation - (Cash) Gh Resident	Family Physician	Fixed Price	GHS	220	
US-Transvagina TVS (cash) Non GH Resident	US-Transvagina TVS	Fixed Price	GHS	318	
Liver Profile, Serum - Foreign Credit	Liver Profile, Serum	Fixed Price	GHS	369	Foreign credit
Serial sputum smears for diagnosing pulmonary tuberculosis panel - by Acid fast stain - Foreign Credit	Serial sputum smears for diagnosing pulmonary tuberculosis panel - by Acid fast stain	Fixed Price	GHS	69	Foreign credit
Renal Function Panel, Serum - Foreign Credit	Renal Function Panel, Serum	Fixed Price	GHS	286	Foreign credit
T3 (Triiodothyronine), Free, Serum - Foreign Cash	T3 (Triiodothyronine), Free, Serum	Fixed Price	GHS	234	Foreign cash
Anaesthetist Cons Deposit Account	Anaesthetist	Fixed Price	GHS	450	
Us-scan Pelvic - Foreign Credit	Us-scan Pelvic	Fixed Price	GHS	351	Foreign credit
US-PELVIC SCAN - Foreign Cash	US-PELVIC SCAN	Fixed Price	GHS	331	Foreign cash
Hemoglobin A1c, Blood - Foreign Cash	Hemoglobin A1c, Blood	Fixed Price	GHS	377	Foreign cash
Prolactin, Serum - Foreign Cash	Prolactin, Serum	Fixed Price	GHS	211	Foreign cash
C-Reactive Protein (CRP), Serum (Local Insurance)	C-Reactive Protein (CRP), Serum	Fixed Price	GHS	131	Local insurance
Luteinizing Hormone (LH), Serum - Foreign Cash	Luteinizing Hormone (LH), Serum	Fixed Price	GHS	211	Foreign cash
Bacteria identified in Sputum by Culture - Foreign Cash	Bacteria identified in Sputum by Culture	Fixed Price	GHS	312	Foreign cash
T4 (Thyroxine), Free, Serum - Foreign Cash	T4 (Thyroxine), Free, Serum	Fixed Price	GHS	234	Foreign cash
TSH-Ab - Cash (GH Resident)	TSH-Ab	Fixed Price	GHS	648	
Erythrocyte Sedimentation Rate - Cash (GH Resident)	Erythrocyte Sedimentation Rate	Fixed Price	GHS	97	
T3 (Triiodothyronine), Free, Serum - Foreign Credit	T3 (Triiodothyronine), Free, Serum	Fixed Price	GHS	248	Foreign credit
CT-PELVIS (RTA) (Local Insurance)	CT-PELVIS (RTA)	Fixed Price	GHS	1201	Local insurance
Estradiol, Serum - Foreign Cash	Estradiol, Serum	Fixed Price	GHS	172	Foreign cash
Hemoglobin A1c, Blood - Foreign Credit	Hemoglobin A1c, Blood	Fixed Price	GHS	400	Foreign credit
Progesterone, Serum - Foreign Cash	Progesterone, Serum	Fixed Price	GHS	253	Foreign cash
Lipid Panel, Fasting, Serum - Foreign Credit	Lipid Panel, Fasting, Serum	Fixed Price	GHS	329	Foreign credit
Renal Function Panel, Serum - Foreign Cash	Renal Function Panel, Serum	Fixed Price	GHS	272	Foreign cash
Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells (cash)	Deleted	Fixed Price	GHS	0	
RF Guidance for treatment of Fistula-- W contrast intra fistula (cash)	RF Guidance for treatment of Fistula-- W contrast intra fistula	Fixed Price	GHS	0	
RF Guidance for treatment of Fistula-- W contrast intra fistula (credit)	RF Guidance for treatment of Fistula-- W contrast intra fistula	Fixed Price	GHS	0	
RF Fistula Diagnostic W contrast intra fistula (cash)	RF Fistula Diagnostic W contrast intra fistula	Fixed Price	GHS	0	
Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells (credit)	Deleted	Fixed Price	GHS	0	
Urine Culture and Sensitivity / CS - Foreign Credit	Urine Culture and Sensitivity / CS	Fixed Price	GHS	364	Foreign credit
SPUTUM Culture & Sensitivity - Foreign Cash	SPUTUM Culture & Sensitivity	Fixed Price	GHS	343	Foreign cash
Human Chorionic Gonadotropin (hCG), Quantitative, Pregnancy, Serum - Foreign Credit	Human Chorionic Gonadotropin (hCG), Quantitative, Pregnancy, Serum	Fixed Price	GHS	158	Foreign credit
C reactive protein [Mass/volume] in Blood by High sensitivity method -Foreign Credit	C reactive protein [Mass/volume] in Blood by High sensitivity method	Fixed Price	GHS	128	Foreign credit
Hepatitis B virus core Ab panel - Serum or Plasma - Foreign Credit	Hepatitis B virus core Ab panel - Serum or Plasma	Fixed Price	GHS	517	Foreign credit
TYPHOID ANTIBODY (WIDAL) - Foreign Credit	TYPHOID ANTIBODY (WIDAL)	Fixed Price	GHS	176	Foreign credit
SPUTUM Culture & Sensitivity - Foreign Credit	SPUTUM Culture & Sensitivity	Fixed Price	GHS	364	Foreign credit
Hemoglobin pattern [Interpretation] in Blood by Electrophoresis - Foreign Credit	Hemoglobin pattern [Interpretation] in Blood by Electrophoresis	Fixed Price	GHS	247	Foreign credit
Bacteria identified in Urethra by Culture - Foreign Cash	Bacteria identified in Urethra by Culture	Fixed Price	GHS	310	Foreign cash
C reactive protein [Mass/volume] in Blood by High sensitivity method - Foreign Cash	C reactive protein [Mass/volume] in Blood by High sensitivity method	Fixed Price	GHS	121	Foreign cash
C-Reactive Protein (CRP), Serum - Credit Non Resident)	C-Reactive Protein (CRP), Serum	Fixed Price	GHS	156	
MALARIA BF (Thin + Thick) cash (GH Resident)	MALARIA BF (Thin + Thick)	Fixed Price	GHS	59	
C-Reactive Protein (CRP), Serum Cash (Non resident)	C-Reactive Protein (CRP), Serum	Fixed Price	GHS	149	
Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay Cash (GH Resident)	Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay	Fixed Price	GHS	259	
Physician Assistant Cash - Non Resident	Physician Assistant Cons	Fixed Price	GHS	108	
Helicobacter pylori Ab [Presence] in Serum (cash)	Helicobacter pylori Ab [Presence] in Serum	Fixed Price	GHS	176	
Erythrocyte Sedimentation Rate - Cash (Non Resident)	Erythrocyte Sedimentation Rate	Fixed Price	GHS	117	
STOOL Culture & Sensitivity - Foreign Cash	STOOL Culture & Sensitivity	Fixed Price	GHS	295	Foreign cash
ABO group [Type] in Blood - Foreign Credit	ABO group [Type] in Blood	Fixed Price	GHS	106	Foreign credit
Rubella Antibodies, IgG, Serum - Foreign Cash	Rubella Antibodies, IgG, Serum	Fixed Price	GHS	389	Foreign cash
Urine Pregnosticon Test - Foreign Credit	Urine Pregnosticon Test	Fixed Price	GHS	159	Foreign credit
ABO group [Type] in Blood - Foreign Cash	ABO group [Type] in Blood	Fixed Price	GHS	100	Foreign cash
Bacteria identified in Sputum by Culture - Foreign Credit	Bacteria identified in Sputum by Culture	Fixed Price	GHS	331	Foreign credit
RF Fistula Diagnostic W contrast intra fistula (credit)	RF Fistula Diagnostic W contrast intra fistula	Fixed Price	GHS	0	
RF Unspecified body region Views W barium contrast via fistula (cash)	RF Unspecified body region Views W barium contrast via fistula	Fixed Price	GHS	0	
RF Unspecified body region Views W barium contrast via fistula (credit)	RF Unspecified body region Views W barium contrast via fistula	Fixed Price	GHS	0	
RFA AV fistula Views W contrast IA (cash)	RFA AV fistula Views W contrast IA	Fixed Price	GHS	0	
RFA AV fistula Views W contrast IA (credit)	RFA AV fistula Views W contrast IA	Fixed Price	GHS	0	
RFA AV fistula Views W contrast retrograde (cash)	RFA AV fistula Views W contrast retrograde	Fixed Price	GHS	0	
RFA AV fistula Views W contrast retrograde (credit)	RFA AV fistula Views W contrast retrograde	Fixed Price	GHS	0	
RF Unspecified body region Views W contrast via fistula (cash)	RF Unspecified body region Views W contrast via fistula	Fixed Price	GHS	0	
RF Unspecified body region Views W contrast via fistula (credit)	RF Unspecified body region Views W contrast via fistula	Fixed Price	GHS	0	
RFA AV fistula Views W contrast IV (cash)	RFA AV fistula Views W contrast IV	Fixed Price	GHS	0	
RFA AV fistula Views W contrast IV (credit)	RFA AV fistula Views W contrast IV	Fixed Price	GHS	0	
Physician Assistant Credit - Gh Resident	Physician Assistant Cons	Fixed Price	GHS	95	
Takoradi Dental - (Credit) (Non Resident)	Dental clinic	Fixed Price	GHS	280	
Renal Clinic Follow Up - (Local Insurance)	Renal Clinic	Fixed Price	GHS	295	Local insurance
Sickle cell screen test status CPHS - Foreign Cash	Sickle cell screen test status CPHS	Fixed Price	GHS	54	Foreign cash
Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay - Foreign Credit	Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay	Fixed Price	GHS	327	Foreign credit
Rubella Antibodies, IgG, Serum - Foreign Credit	Rubella Antibodies, IgG, Serum	Fixed Price	GHS	408	Foreign credit
Hepatitis B virus core Ab panel - Serum or Plasma - Foreign Cash	Hepatitis B virus core Ab panel - Serum or Plasma	Fixed Price	GHS	492	Foreign cash
Hepatitis B virus surface Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay - Foreign Credit	Hepatitis B virus surface Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay	Fixed Price	GHS	236	Foreign credit
Hemoglobin pattern [Interpretation] in Blood by Electrophoresis - Foreign Cash	Hemoglobin pattern [Interpretation] in Blood by Electrophoresis	Fixed Price	GHS	233	Foreign cash
Helicobacter pylori Antigen, Feces - Foreign Cash	Helicobacter pylori Antigen, Feces	Fixed Price	GHS	280	Foreign cash
Physiotherapist Cons - (Local Insurance)	Physiotherapy	Fixed Price	GHS	477	Local insurance
Hepatitis B virus surface Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay - Foreign Cash	Hepatitis B virus surface Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay	Fixed Price	GHS	223	Foreign cash
Helicobacter pylori Antigen, Feces - Foreign Credit	Helicobacter pylori Antigen, Feces	Fixed Price	GHS	297	Foreign credit
Rubella virus IgG and IgM panel - Serum - Foreign Credit	Rubella virus IgG and IgM panel - Serum	Fixed Price	GHS	953	Foreign credit
Mycobacterium tuberculosis DNA [Presence] in Sputum by NAA with probe detection - Foreign Credit	Mycobacterium tuberculosis DNA [Presence] in Sputum by NAA with probe detection	Fixed Price	GHS	205	Foreign credit
Sickle cell screen test status CPHS - Foreign Credit	Sickle cell screen test status CPHS	Fixed Price	GHS	57	Foreign credit
Smear morphology panel - Blood - Foreign Credit	Smear morphology panel - Blood	Fixed Price	GHS	210	Foreign credit
RFA Guidance for atherectomy of AV fistula-- W contrast IV (cash)	RFA Guidance for atherectomy of AV fistula-- W contrast IV	Fixed Price	GHS	0	
RFA Guidance for atherectomy of AV fistula-- W contrast IV (credit)	RFA Guidance for atherectomy of AV fistula-- W contrast IV	Fixed Price	GHS	0	
RF AV fistula Views W contrast via additional puncture (cash)	RF AV fistula Views W contrast via additional puncture	Fixed Price	GHS	0	
RF AV fistula Views W contrast via additional puncture (credit)	RF AV fistula Views W contrast via additional puncture	Fixed Price	GHS	0	
RF AV fistula Views W contrast via existing catheter (cash)	RF AV fistula Views W contrast via existing catheter	Fixed Price	GHS	0	
RF AV fistula Views W contrast via existing catheter (credit)	RF AV fistula Views W contrast via existing catheter	Fixed Price	GHS	0	
RFA Views for dialysis fistula W contrast IA (cash)	RFA Views for dialysis fistula W contrast IA	Fixed Price	GHS	0	
RFA Views for dialysis fistula W contrast IA (credit)	RFA Views for dialysis fistula W contrast IA	Fixed Price	GHS	0	
RFA Views for dialysis fistula W contrast IA and Guidance for percutaneous transluminal angioplasty (cash)	RFA Views for dialysis fistula W contrast IA and Guidance for percutaneous transluminal angioplasty	Fixed Price	GHS	0	
RFA Views for dialysis fistula W contrast IA and Guidance for percutaneous transluminal angioplasty (credit)	RFA Views for dialysis fistula W contrast IA and Guidance for percutaneous transluminal angioplasty	Fixed Price	GHS	0	
RFA Views for dialysis fistula W contrast IA and Guidance for percutaneous transluminal angioplasty transcatheter placement of stent (cash)	RFA Views for dialysis fistula W contrast IA and Guidance for percutaneous transluminal angioplasty transcatheter placement of stent	Fixed Price	GHS	0	
RFA Views for dialysis fistula W contrast IA and Guidance for percutaneous transluminal angioplasty transcatheter placement of stent (credit)	RFA Views for dialysis fistula W contrast IA and Guidance for percutaneous transluminal angioplasty transcatheter placement of stent	Fixed Price	GHS	0	
Uric Acid (cash)	x	Fixed Price	GHS	0	
24h Creatinine Clearance credit (Local Insurance)	24h Creatinine Clearance	Fixed Price	GHS	263	Local insurance
Uric Acid (credit)	x	Fixed Price	GHS	0	
General Surgeon credit (GH Resident)	General Surgery	Fixed Price	GHS	477	
General Surgeon credit cons (Non Resident)	General Surgery	Fixed Price	GHS	609	
Paediatrics Cons credit (Non Resident)	Paediatrics	Fixed Price	GHS	609	
Us-Doppler Colour / Vascular Ultrasound One Side - Foreign Credit	Us-Doppler Colour / Vascular Ultrasound One Side	Fixed Price	GHS	705	Foreign credit
Anaesthetist Follow up Deposit Account	Anaesthetist	Fixed Price	GHS	278	
Obs & Gynae credit Cons (Non Resident)	Obs & Gynae	Fixed Price	GHS	595	
Orthopaedics Cons - (Local Insurance)	Orthopaedics	Fixed Price	GHS	477	Local insurance
Ophtalmologist Cons credit ( Resident)	Ophtalmology	Fixed Price	GHS	477	
Diagnostic mammogram and ultrasound panel Breast - right Document LHC-Forms - Foreign Credit	Diagnostic mammogram and ultrasound panel Breast - right Document LHC-Forms	Fixed Price	GHS	858	Foreign credit
Dental Follow up Deposit account Phoenix Insurance)	Dental clinic	Fixed Price	GHS	278	
Diagnostic mammogram and ultrasound panel Breast - left Document LHC-Forms - Foreign Credit	Diagnostic mammogram and ultrasound panel Breast - left Document LHC-Forms	Fixed Price	GHS	858	Foreign credit
General Surgeon credit Follow-up (Resident)	General Surgery	Fixed Price	GHS	295	
Physiotherapist Cons cash follow up (Non Resident)	Physiotherapy	Fixed Price	GHS	334	
X-RAY ABDOMEN(CHILDREN) - Foreign Cash	X-RAY ABDOMEN(CHILDREN)	Fixed Price	GHS	348	Foreign cash
24h Creatinine Clearance credit (Non Resident)	24h Creatinine Clearance	Fixed Price	GHS	574	
24h Creatinine Clearance cash (GH Resident)	24h Creatinine Clearance	Fixed Price	GHS	113	
24h Creatinine Clearance cash (Non Resident)	24h Creatinine Clearance	Fixed Price	GHS	246	
24h Creatinine Clearance credit (GH Resident)	24h Creatinine Clearance	Fixed Price	GHS	263	
Ophtalmologist Follow up CASH (GH Resident)	Ophtalmology	Fixed Price	GHS	278	
Blood Group (ABO Rh) credit (GH Resident)	Blood Group (ABO Rh)	Fixed Price	GHS	94	
Paediatrics Follow-up cash (Non-Resident)	Paediatrics	Fixed Price	GHS	334	
Echocardiogram cash (GH Resident)	Echocardiogram	Fixed Price	GHS	847	
ENT Follow Up Credit ( GH Resident)	ENT	Fixed Price	GHS	295	
Blood Group (ABO Rh) cash (GH Resident)	Blood Group (ABO Rh)	Fixed Price	GHS	89	
Ophtalmologist Cons CASH (Non Resident)	Ophtalmology	Fixed Price	GHS	540	
Blood Group (ABO Rh) cash (Non Resident)	Blood Group (ABO Rh)	Fixed Price	GHS	88	
BLOOD Culture & Sensitivity credit (Non Resident)	BLOOD Culture & Sensitivity	Fixed Price	GHS	335	
D - DIMER Cash (Non Resident)	D - DIMER	Fixed Price	GHS	447	
Dental Consultation Deposit account (Phoenix Insurance)	Dental clinic	Fixed Price	GHS	450	
Ophtalmologist Cons CREDIT ( Non Resident)	Ophtalmology	Fixed Price	GHS	572	
Anaesthetist Cons Follow Up - (Local Insurance)	Anaesthetist	Fixed Price	GHS	295	Local insurance
BLOOD Culture & Sensitivity cash (GH Resident)	BLOOD Culture & Sensitivity	Fixed Price	GHS	266	
BLOOD Culture & Sensitivity credit (GH Resident)	BLOOD Culture & Sensitivity	Fixed Price	GHS	282	
anti-Nuclear Antibodies (Anti-dsDNA & ANF) cash (GH Resident)	anti-Nuclear Antibodies (Anti-dsDNA & ANF)	Fixed Price	GHS	610	
FP Consultation (Local Insurance)	Family Physician	Fixed Price	GHS	332	Local insurance
Takoradi FP Consultation - (Follow-Up)	Family Physician	Fixed Price	GHS	77	
Chlamydia cash (GH Resident)	Chlamydia	Fixed Price	GHS	251	
Chlamydia cash (Non Resident)	Chlamydia	Fixed Price	GHS	283	
Chlamydia credit (GH Resident)	Chlamydia	Fixed Price	GHS	266	
Chlamydia credit (Non Resident)	Chlamydia	Fixed Price	GHS	300	
Takoradi Orthopaedics - (Cash) (Non Resident)	Orthopaedics	Fixed Price	GHS	264	
Blood Group (ABO Rh) credit (Non Resident)	Blood Group (ABO Rh)	Fixed Price	GHS	92	
Neurosurgeon Cons credit (Non Resident)	Neurosurgery	Fixed Price	GHS	572	
C-Reactive Protein (CRP), Serum - Credit (GH Resident)	C-Reactive Protein (CRP), Serum	Fixed Price	GHS	131	
D - DIMER Cash (GH Resident)	D - DIMER	Fixed Price	GHS	373	
D - DIMER credit (GH Resident)	D - DIMER	Fixed Price	GHS	395	
FEACAL OCCULT BLOOD cash (GH Resident)	FEACAL OCCULT BLOOD	Fixed Price	GHS	99	
FEACAL OCCULT BLOOD credit (GH Resident)	FEACAL OCCULT BLOOD	Fixed Price	GHS	105	
